股票代號:1232 五年平均大於7, 股利為:7.940580177276382
股票代號:1303 五年平均大於7, 股利為:7.422175664786465
股票代號:1326 五年平均大於7, 股利為:7.68253827558422
股票代號:1451 五年平均大於7, 股利為:8.598976631748586
股票代號:1473 五年平均大於7, 股利為:7.5204190169218466
股票代號:1477 五年平均大於7, 股利為:8.43895245769542
股票代號:1521 五年平均大於7, 股利為:8.292288477034644
股票代號:1710 五年平均大於7, 股利為:7.524754230459313
股票代號:1723 五年平均大於7, 股利為:7.344351329572918
股票代號:2002 五年平均大於7, 股利為:9.154891216760669
股票代號:2006 五年平均大於7, 股利為:7.339089443996773
股票代號:2020 五年平均大於7, 股利為:7.910233682514078
股票代號:2027 五年平均大於7, 股利為:7.076164383561642
股票代號:2029 五年平均大於7, 股利為:8.900128928283639
股票代號:2103 五年平均大於7, 股利為:8.998331990330382
股票代號:2338 五年平均大於7, 股利為:8.804850926672039
股票代號:2355 五年平均大於7, 股利為:7.917655116841239
股票代號:2365 五年平均大於7, 股利為:7.472675261885576
股票代號:2404 五年平均大於7, 股利為:9.126059629331197
股票代號:2423 五年平均大於7, 股利為:7.5086140209508585
股票代號:2433 五年平均大於7, 股利為:8.308178887993552
股票代號:2464 五年平均大於7, 股利為:7.512618855761487
股票代號:2480 五年平均大於7, 股利為:9.0026269137792
股票代號:2488 五年平均大於7, 股利為:8.739153908138583
股票代號:2495 五年平均大於7, 股利為:7.0950282030620455
股票代號:2526 五年平均大於7, 股利為:8.42127316680097
股票代號:2534 五年平均大於7, 股利為:11.70454472199839
股票代號:2605 五年平均大於7, 股利為:8.442304593070109
股票代號:2606 五年平均大於7, 股利為:10.134069298952454
股票代號:2609 五年平均大於7, 股利為:7.515705076551187
股票代號:2615 五年平均大於7, 股利為:7.458162771958088
股票代號:2832 五年平均大於7, 股利為:7.182336825141023
股票代號:3027 五年平均大於7, 股利為:7.154464141821108
股票代號:3028 五年平均大於7, 股利為:7.677614826752622
股票代號:3032 五年平均大於7, 股利為:8.161047542304587
股票代號:3033 五年平均大於7, 股利為:8.171893634165981
股票代號:3045 五年平均大於7, 股利為:7.1934730056406115
股票代號:3055 五年平均大於7, 股利為:9.11497179693794
股票代號:3067 五年平均大於7, 股利為:7.301740531829172
股票代號:3093 五年平均大於7, 股利為:7.250040290088638
股票代號:3114 五年平均大於7, 股利為:8.64082997582595
股票代號:4401 五年平均大於7, 股利為:7.713352135374695
股票代號:4420 五年平均大於7, 股利為:8.647816277195831
股票代號:4711 五年平均大於7, 股利為:7.656752618855758
股票代號:4714 五年平均大於7, 股利為:7.462530217566493
股票代號:4904 五年平均大於7, 股利為:7.338058017727643
股票代號:5007 五年平均大於7, 股利為:7.60423045930701
股票代號:5015 五年平均大於7, 股利為:8.267767929089432
股票代號:5403 五年平均大於7, 股利為:7.619846897663169
股票代號:5466 五年平均大於7, 股利為:7.520370668815466
股票代號:5490 五年平均大於7, 股利為:8.031265108783222
股票代號:5508 五年平均大於7, 股利為:12.438259468170827
股票代號:5511 五年平均大於7, 股利為:8.526244963738927
股票代號:5514 五年平均大於7, 股利為:9.127743755036251
股票代號:5604 五年平均大於7, 股利為:11.9303223207091
股票代號:5608 五年平均大於7, 股利為:7.733827558420627
股票代號:6136 五年平均大於7, 股利為:7.248791297340851
股票代號:6139 五年平均大於7, 股利為:8.480402900886402
股票代號:6154 五年平均大於7, 股利為:7.655519742143433
股票代號:6184 五年平均大於7, 股利為:7.742812248186938
股票代號:6188 五年平均大於7, 股利為:7.139242546333605
股票代號:6189 五年平均大於7, 股利為:7.055608380338432
股票代號:6201 五年平均大於7, 股利為:8.872997582594664
股票代號:6216 五年平均大於7, 股利為:8.187590652699445
股票代號:6218 五年平均大於7, 股利為:8.204987912973408
股票代號:6227 五年平均大於7, 股利為:7.072062852538272
股票代號:6270 五年平均大於7, 股利為:7.309443996776786
股票代號:8080 五年平均大於7, 股利為:7.1137147461724455
股票代號:8099 五年平均大於7, 股利為:7.310652699435947
股票代號:8924 五年平均大於7, 股利為:8.936349717969394
股票代號:8938 五年平均大於7, 股利為:7.443795326349717
股票代號:9924 五年平均大於7, 股利為:8.731466559226435
股票代號:9927 五年平均大於7, 股利為:10.563311845286059
股票代號:9930 五年平均大於7, 股利為:7.172401289282854
股票代號:9941 五年平均大於7, 股利為:8.233642224012884
